@relation tracker

@attribute cookieNum numeric
@attribute lifeTimeMin numeric
@attribute lifeTimeAug numeric
@attribute isTracker {TRUE, FALSE}

@data
3,1009152005,133224595569,TRUE
7,86400,220814114711,TRUE
0,0,0,FALSE
1,2280795566,84389435942,TRUE
2,2642597,52783316849,TRUE
1,315360001,7568640024,FALSE
4,687044393,144217305857,TRUE
2,315360001,18606256579,TRUE
2,315360001,18606240409,TRUE
3,315360000,29643863159,TRUE
2,31536052,27663558428,FALSE
3,315360001,82502321140,TRUE
0,0,0,FALSE
4,2592000,82699313140,TRUE
1,2636919422,50101469018,TRUE
4,1009152005,217614031511,TRUE
7,86400,220817241539,TRUE
2,63072000,1387584000,FALSE
3,31536052,35232198452,TRUE
1,94636800,3785472000,FALSE
5,1800,1012376088,FALSE
2,315360001,18606256579,TRUE
3,685575368,34278774770,FALSE
1,311040000,7464960000,FALSE
1,31536000,63072000,FALSE
1,63072000,4225824000,FALSE
1,946684190,946684190,FALSE
0,0,0,FALSE
5,2592000,36671136096,TRUE
1,15552000,342144000,FALSE
3,315360000,29643862564,FALSE
1,21600,259200,FALSE
4,7776000,21825930304,TRUE
2,654039457,15696946968,TRUE
5,31104000,32459184164,TRUE
3,1209883,181437094310,FALSE
2,315360001,18606241249,FALSE
3,315360000,29643862529,TRUE
3,315360000,29643875899,TRUE
3,31536000,2144448000,FALSE
0,0,0,FALSE
2,315360001,18606241249,FALSE
3,2592000,35496096096,FALSE
2,2642400,52759531900,FALSE
2,1,599184016,FALSE
1,31535997,756863928,TRUE
0,0,0,FALSE
8,63072000,23156049546,TRUE
1,149117818,2385885088,FALSE
1,900,16200,FALSE
1,62803967,144449124,FALSE
4,31104000,31986144164,TRUE
4,7776000,21825930304,TRUE
2,2636918491,100202920347,TRUE
15,1800,144123019118,TRUE
2,63072000,1387584000,FALSE
3,31536052,35232198452,TRUE
